               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13234,            0.041863,            0.049681,                   0,                   0,                   0,                   0,              0.1262,            0.048907,            0.047456,                 0.1,                   0,                   0
                   1,              0.1321,            0.041765,            0.050953,                   0,                   0,                   0,                   0,             0.12624,            0.048838,            0.047346,            0.099099,           9.901e-05,           9.901e-05
                   2,             0.13037,            0.042643,            0.049982,                   0,                   0,                   0,                   0,             0.12611,            0.048772,             0.04713,            0.098196,          0.00019604,          0.00019604
                   3,             0.12953,            0.044197,            0.048797,                   0,                   0,                   0,                   0,             0.12607,            0.048669,            0.046847,            0.097291,          0.00029109,          0.00029109
                   4,             0.13019,            0.039485,             0.04946,                   0,                   0,                   0,                   0,             0.12593,            0.048602,             0.04651,            0.096384,          0.00038416,          0.00038416
                   5,             0.12908,            0.040233,             0.04759,          8.9031e-05,            0.015625,          4.7423e-05,          4.7423e-06,             0.12561,            0.048599,            0.046007,            0.095475,          0.00047525,          0.00047525
                   6,             0.12882,            0.040524,            0.046081,          8.7443e-05,            0.015625,          4.6804e-05,          4.6804e-06,              0.1236,            0.049259,            0.045631,            0.094564,          0.00056436,          0.00056436
                   7,             0.12859,            0.038707,            0.047469,          0.00034698,              0.0625,          0.00022508,          3.7214e-05,             0.12148,            0.049992,             0.04493,            0.093651,          0.00065149,          0.00065149
                   8,             0.12383,            0.042611,            0.042974,          0.00033795,              0.0625,          0.00025654,          5.0648e-05,             0.11882,             0.05086,            0.044405,            0.092737,          0.00073664,          0.00073664
                   9,             0.12228,            0.049456,            0.042626,          0.00051312,             0.11384,           0.0004294,          7.3635e-05,             0.11748,            0.051311,             0.04407,             0.09182,          0.00081981,          0.00081981
                  10,             0.12012,            0.049894,            0.042804,          0.00059453,             0.12946,          0.00057558,          0.00015589,             0.11507,            0.053104,            0.043453,            0.090901,            0.000901,            0.000901
                  11,             0.12168,            0.057103,            0.041222,          0.00093212,             0.19196,           0.0009116,          0.00012898,             0.11347,            0.054802,            0.042287,             0.08998,          0.00098021,          0.00098021
                  12,             0.11565,            0.049234,            0.040328,           0.0023658,             0.43304,           0.0033475,          0.00077534,              0.1093,             0.05734,            0.041417,            0.089057,           0.0010574,           0.0010574
                  13,             0.11632,            0.062782,            0.037769,           0.0020636,             0.37054,           0.0045287,           0.0013272,             0.10951,            0.056923,            0.040671,            0.088133,           0.0011327,           0.0011327
                  14,              0.1151,            0.042692,            0.039778,              0.0015,             0.25893,           0.0018694,          0.00025085,             0.11165,            0.057542,            0.039951,            0.087206,            0.001206,            0.001206
                  15,             0.11195,            0.054918,            0.035956,           0.0023056,             0.35491,            0.013877,           0.0037064,             0.10782,            0.057108,            0.038939,            0.086277,           0.0012772,           0.0012772
                  16,             0.10966,             0.04761,            0.033539,           0.0019208,             0.33929,           0.0053652,          0.00092751,             0.11294,             0.05626,            0.038224,            0.085347,           0.0013466,           0.0013466
                  17,             0.11075,            0.041229,            0.034757,           0.0035519,             0.57589,            0.012923,           0.0022795,             0.10791,            0.056776,            0.037222,            0.084414,           0.0014139,           0.0014139
                  18,             0.10952,            0.048317,            0.033509,             0.00314,             0.53571,            0.033844,           0.0094015,             0.10705,             0.05759,            0.036375,            0.083479,           0.0014792,           0.0014792
                  19,             0.10955,            0.052337,            0.032336,           0.0026902,             0.46875,            0.054602,           0.0080602,             0.10529,            0.058518,            0.035236,            0.082543,           0.0015426,           0.0015426
                  20,             0.10681,            0.048473,            0.031394,           0.0025109,              0.4375,            0.017754,           0.0029082,             0.11413,            0.057593,            0.033717,            0.081604,            0.001604,            0.001604
                  21,             0.11126,            0.040173,            0.029142,           0.0031202,             0.53571,              0.1395,            0.041221,             0.10067,             0.06066,            0.032445,            0.080663,           0.0016634,           0.0016634
                  22,               0.111,            0.052067,            0.032012,           0.0030258,             0.52009,            0.033705,            0.010346,             0.11135,            0.059201,            0.031605,            0.079721,           0.0017208,           0.0017208
                  23,             0.10503,            0.045105,            0.028588,            0.003006,             0.48438,              0.1657,            0.046164,            0.098904,            0.061832,            0.031312,            0.078776,           0.0017763,           0.0017763
                  24,             0.10332,            0.035637,            0.031073,           0.0029914,             0.42188,            0.019556,           0.0034304,             0.11124,            0.059655,            0.030814,             0.07783,           0.0018298,           0.0018298
                  25,             0.10267,            0.057424,            0.026156,            0.003598,             0.53571,             0.13493,            0.042191,             0.10018,            0.060729,            0.030024,            0.076881,           0.0018812,           0.0018812
                  26,             0.10583,            0.055633,            0.027355,           0.0031135,             0.53571,            0.026023,           0.0064021,             0.11094,            0.057025,            0.028092,            0.075931,           0.0019308,           0.0019308
                  27,             0.10333,            0.058741,            0.026611,            0.020179,             0.46429,             0.14819,            0.044095,             0.10242,            0.057617,            0.027479,            0.074978,           0.0019783,           0.0019783
                  28,             0.10274,            0.039143,            0.025967,            0.013153,             0.39964,             0.13946,            0.029959,             0.10479,            0.056425,            0.026522,            0.074024,           0.0020238,           0.0020238
                  29,            0.098119,            0.061134,            0.026319,            0.013153,             0.39964,             0.13946,            0.029959,             0.10479,            0.056425,            0.026522,            0.073067,           0.0020674,           0.0020674
                  30,            0.097736,            0.045684,            0.025032,             0.61477,             0.32143,             0.20363,            0.055108,             0.09966,            0.058035,            0.026013,            0.072109,            0.002109,            0.002109
                  31,             0.10365,            0.050232,             0.02619,             0.61477,             0.32143,             0.20363,            0.055108,             0.09966,            0.058035,            0.026013,            0.071149,           0.0021486,           0.0021486
                  32,             0.10309,            0.057461,            0.022866,            0.027573,             0.53757,             0.10512,            0.023697,             0.11225,             0.05475,            0.025908,            0.070186,           0.0021862,           0.0021862
                  33,             0.10246,            0.041946,            0.025033,            0.027573,             0.53757,             0.10512,            0.023697,             0.11225,             0.05475,            0.025908,            0.069222,           0.0022219,           0.0022219
                  34,            0.099466,            0.044606,            0.025053,             0.02858,                 0.5,            0.069677,            0.029856,             0.10837,            0.054008,            0.024325,            0.068256,           0.0022556,           0.0022556
                  35,            0.095938,            0.040696,            0.024379,             0.02858,                 0.5,            0.069677,            0.029856,             0.10837,            0.054008,            0.024325,            0.067287,           0.0022873,           0.0022873
