               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12804,            0.038476,            0.030861,                   0,                   0,                   0,                   0,              0.1243,            0.041223,            0.028968,                 0.1,                   0,                   0
                   1,             0.12765,            0.036471,            0.031078,                   0,                   0,                   0,                   0,             0.12374,            0.040943,            0.028981,            0.099099,           9.901e-05,           9.901e-05
                   2,             0.12717,            0.036381,            0.031352,                   0,                   0,                   0,                   0,             0.12304,            0.040667,               0.029,            0.098196,          0.00019604,          0.00019604
                   3,             0.12468,             0.03721,            0.031081,                   0,                   0,                   0,                   0,             0.12197,            0.040557,            0.029002,            0.097291,          0.00029109,          0.00029109
                   4,             0.12527,            0.037518,            0.030829,                   0,                   0,                   0,                   0,             0.12063,            0.040539,            0.029009,            0.096384,          0.00038416,          0.00038416
                   5,             0.12576,            0.037537,            0.030948,                   0,                   0,                   0,                   0,             0.11915,            0.040587,            0.029005,            0.095475,          0.00047525,          0.00047525
                   6,             0.12157,            0.037127,            0.031625,                   0,                   0,                   0,                   0,             0.11748,            0.040783,            0.028992,            0.094564,          0.00056436,          0.00056436
                   7,             0.12063,            0.036047,            0.030462,                   0,                   0,                   0,                   0,             0.11561,            0.041146,            0.028985,            0.093651,          0.00065149,          0.00065149
                   8,             0.11647,            0.034529,            0.030732,                   0,                   0,                   0,                   0,              0.1138,            0.041553,            0.028969,            0.092737,          0.00073664,          0.00073664
                   9,             0.11415,            0.039407,            0.030234,          0.00013473,                0.02,          7.1416e-05,          7.1416e-06,             0.11167,            0.042117,            0.028977,             0.09182,          0.00081981,          0.00081981
                  10,             0.11302,            0.038215,            0.030283,          0.00026668,                0.04,          0.00013994,          2.7989e-05,             0.10945,            0.042677,            0.028934,            0.090901,            0.000901,            0.000901
                  11,             0.11238,            0.039947,            0.029568,          0.00039933,                0.06,          0.00022229,          5.1589e-05,             0.10706,            0.043191,            0.028888,             0.08998,          0.00098021,          0.00098021
